age,gender,family_history,diet,lifestyle,cholesterol,heart_disease
SuperSeniorCitizen,Male,Yes,High,Athlete,High,Yes
SeniorCitizen,Female,No,Medium,Active,BorderLine,No
Middle Aged,Male,Yes,Low,Moderate,Normal,No
Youth,Female,No,High,Sedetary,High,Yes
Teen,Male,No,Medium,Athlete,Normal,No
SeniorCitizen,Male,Yes,High,Sedetary,High,Yes
Middle Aged,Female,No,Low,Active,Normal,No
Youth,Male,Yes,Medium,Moderate,BorderLine,Yes
SuperSeniorCitizen,Female,Yes,Low,Sedetary,High,Yes
Teen,Female,No,Medium,Athlete,Normal,No
